timestamp,build_number,run_id,test_suite,number_of_tests,git_commit,git_branch,answer_correctness_score,context_entity_recall_score,context_precision_score,context_recall_score,faithfulness_score
2025-12-29T20:57:52.503915,,20251229_205607,ragas_rag,3,,,0.9833,0.6699,0.5,0.7333,0.6905
2025-12-29T21:12:27.151047,,20251229_211045,ragas_rag,3,,,1,0.6699,0.5,0.5667,0.7238
2025-12-29T21:18:18.352415,,20251229_211630,ragas_rag,3,,,0.9821,0.6699,0.5,0.5667,0.6719
2025-12-29T21:33:14.484462,,20251229_213132,ragas_rag,3,,,0.9914,0.6699,0.5,0.8,0.6905
2025-12-31T14:58:41.917346,,20251231_145658,ragas_rag,3,,,1,0.6032,0.5,0.6778,0.7182
2026-01-05T13:27:53.008726,,20260105_132539,ragas_rag,3,,,0.6557,0.5556,0.2778,0.5917,0.6576
