Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767715566,12,,Aggregated,0.600000,0.000000,5000,6100,6200,6200,8200,9200,9200,9200,9200,9200,9200,11,0,5000.0,4672.194336392832,1.968099968507886,9225.810599979013,663.9090909090909
1767715567,12,,Aggregated,0.000000,0.000000,6200,9200,17000,17000,20000,20000,20000,20000,20000,20000,20000,16,1,6100.0,8810.413093771785,1.968099968507886,20251.23569997959,1124.6875
1767715568,12,,Aggregated,0.000000,0.000000,6200,9200,17000,17000,20000,20000,20000,20000,20000,20000,20000,16,1,6100.0,8810.413093771785,1.968099968507886,20251.23569997959,1124.6875
1767715569,12,,Aggregated,0.000000,0.000000,6200,9200,17000,17000,20000,20000,20000,20000,20000,20000,20000,16,1,6100.0,8810.413093771785,1.968099968507886,20251.23569997959,1124.6875
1767715570,12,,Aggregated,0.000000,0.000000,6200,9200,17000,17000,20000,20000,20000,20000,20000,20000,20000,16,1,6100.0,8810.413093771785,1.968099968507886,20251.23569997959,1124.6875
1767715571,12,,Aggregated,0.000000,0.000000,6200,9200,17000,17000,20000,20000,20000,20000,20000,20000,20000,16,1,6100.0,8810.413093771785,1.968099968507886,20251.23569997959,1124.6875
1767715572,12,,Aggregated,0.000000,0.000000,6200,9200,17000,17000,20000,20000,20000,20000,20000,20000,20000,16,1,6100.0,8810.413093771785,1.968099968507886,20251.23569997959,1124.6875
1767715573,12,,Aggregated,0.000000,0.000000,6200,9200,17000,17000,20000,20000,20000,20000,20000,20000,20000,16,1,6100.0,8810.413093771785,1.968099968507886,20251.23569997959,1124.6875
1767715574,12,,Aggregated,0.000000,0.000000,6200,9200,17000,17000,20000,20000,20000,20000,20000,20000,20000,16,1,6100.0,8810.413093771785,1.968099968507886,20251.23569997959,1124.6875
1767715575,12,,Aggregated,0.000000,0.000000,6200,9200,17000,17000,20000,20000,20000,20000,20000,20000,20000,16,1,6100.0,8810.413093771785,1.968099968507886,20251.23569997959,1124.6875
1767715576,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715577,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715578,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715579,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715580,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715581,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715582,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715583,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715584,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715585,12,,Aggregated,0.500000,0.100000,8200,17000,20000,20000,23000,30000,31000,31000,31000,31000,31000,21,2,8200.0,12026.86155716046,1.968099968507886,30692.56990007125,1206.3809523809523
1767715586,12,,Aggregated,0.500000,0.100000,14000,18000,20000,21000,31000,37000,38000,38000,38000,38000,38000,27,3,14000.0,14479.527837036316,1.968099968507886,38405.704899923876,1198.2222222222222
1767715587,12,,Aggregated,0.500000,0.100000,14000,18000,20000,21000,31000,37000,38000,38000,38000,38000,38000,27,3,14000.0,14479.527837036316,1.968099968507886,38405.704899923876,1198.2222222222222
1767715588,12,,Aggregated,0.500000,0.100000,14000,18000,20000,21000,31000,37000,38000,38000,38000,38000,38000,27,3,14000.0,14479.527837036316,1.968099968507886,38405.704899923876,1198.2222222222222
1767715589,12,,Aggregated,0.500000,0.100000,14000,18000,20000,21000,31000,37000,38000,38000,38000,38000,38000,27,3,14000.0,14479.527837036316,1.968099968507886,38405.704899923876,1198.2222222222222
1767715590,12,,Aggregated,0.500000,0.100000,14000,18000,20000,21000,31000,37000,38000,38000,38000,38000,38000,27,3,14000.0,14479.527837036316,1.968099968507886,38405.704899923876,1198.2222222222222
1767715591,12,,Aggregated,0.500000,0.100000,14000,18000,20000,21000,31000,37000,38000,38000,38000,38000,38000,27,3,14000.0,14479.527837036316,1.968099968507886,38405.704899923876,1198.2222222222222
1767715592,12,,Aggregated,0.500000,0.100000,14000,18000,20000,21000,31000,37000,38000,38000,38000,38000,38000,27,3,14000.0,14479.527837036316,1.968099968507886,38405.704899923876,1198.2222222222222
1767715593,12,,Aggregated,0.500000,0.100000,14000,18000,20000,21000,31000,37000,38000,38000,38000,38000,38000,27,3,14000.0,14479.527837036316,1.968099968507886,38405.704899923876,1198.2222222222222
1767715594,12,,Aggregated,0.600000,0.100000,14000,18000,20000,23000,37000,38000,45000,45000,45000,45000,45000,30,5,9700.0,15048.980730003677,1.968099968507886,44986.61020002328,1082.2
1767715595,12,,Aggregated,0.600000,0.100000,14000,18000,20000,23000,37000,38000,45000,45000,45000,45000,45000,30,5,9700.0,15048.980730003677,1.968099968507886,44986.61020002328,1082.2
1767715596,12,,Aggregated,0.600000,0.100000,14000,18000,20000,23000,37000,38000,45000,45000,45000,45000,45000,30,5,9700.0,15048.980730003677,1.968099968507886,44986.61020002328,1082.2
1767715597,12,,Aggregated,0.600000,0.100000,14000,18000,20000,23000,37000,38000,45000,45000,45000,45000,45000,30,5,9700.0,15048.980730003677,1.968099968507886,44986.61020002328,1082.2
1767715598,12,,Aggregated,0.900000,0.300000,17000,20000,21000,23000,31000,38000,45000,45000,45000,45000,45000,34,5,17000.0,15930.083976476453,1.968099968507886,44986.61020002328,1277.6764705882354
1767715599,12,,Aggregated,0.900000,0.300000,17000,20000,21000,23000,31000,38000,45000,45000,45000,45000,45000,34,5,17000.0,15930.083976476453,1.968099968507886,44986.61020002328,1277.6764705882354
1767715600,12,,Aggregated,0.900000,0.300000,17000,20000,21000,23000,31000,38000,45000,45000,45000,45000,45000,34,5,17000.0,15930.083976476453,1.968099968507886,44986.61020002328,1277.6764705882354
1767715601,12,,Aggregated,0.700000,0.200000,14000,19000,20000,22000,30000,37000,45000,45000,45000,45000,45000,41,8,14000.0,15066.078085367137,1.968099968507886,44986.61020002328,1164.9024390243903
1767715602,12,,Aggregated,0.700000,0.200000,14000,19000,20000,22000,30000,37000,45000,45000,45000,45000,45000,41,8,14000.0,15066.078085367137,1.968099968507886,44986.61020002328,1164.9024390243903
1767715603,12,,Aggregated,0.700000,0.200000,14000,19000,20000,22000,30000,37000,45000,45000,45000,45000,45000,41,8,14000.0,15066.078085367137,1.968099968507886,44986.61020002328,1164.9024390243903
1767715604,12,,Aggregated,0.700000,0.200000,14000,19000,20000,22000,30000,37000,45000,45000,45000,45000,45000,41,8,14000.0,15066.078085367137,1.968099968507886,44986.61020002328,1164.9024390243903
1767715605,12,,Aggregated,0.700000,0.200000,14000,19000,20000,22000,30000,37000,45000,45000,45000,45000,45000,41,8,14000.0,15066.078085367137,1.968099968507886,44986.61020002328,1164.9024390243903
1767715606,12,,Aggregated,0.700000,0.200000,14000,19000,20000,22000,30000,37000,45000,45000,45000,45000,45000,41,8,14000.0,15066.078085367137,1.968099968507886,44986.61020002328,1164.9024390243903
